mean,median,std,p95,p99,cvar95,cvar99,n_samples,slo_violation_rate,scheduler,target,device,load,distance,regime,n_cotenants,cotenants,scenario,seed
61140.92562126177,13162.191538883386,389712.3764100133,145696.99143782907,624809.7775257812,859831.4416375386,3005362.566463284,300,0.8333333333333334,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,44
30789.86233791592,14352.880170055001,70598.27051893977,87648.3912858804,345315.9347372864,259923.3793886646,577688.0940952882,300,0.8366666666666667,random,grpc_endpoint,cloud_c5,0.7,same_numa,structured,3,"batch_training,log_aggregator,video_transcode",gRPC Endpoint,44
25803.083106268154,8954.447723804278,169088.77745688902,44090.43196361457,149840.31036760967,304102.46668258286,1229863.9936423947,300,0.7033333333333334,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,44
168236.0372671949,48649.78981703039,575558.0751886873,504946.41014807136,2462205.896206465,1875159.4099372556,4899829.3727112645,300,0.9633333333333334,random,grpc_endpoint,cloud_c5,0.7,same_core,adversarial,3,"video_transcode,batch_training,data_shuffle",gRPC Endpoint,44
44909.05327022661,18668.035624855387,123928.14907159266,129120.97993988797,652634.4193731976,422212.5429061473,1096101.382084639,300,0.9033333333333333,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,44
56660.093666773435,25474.153005013577,142192.80592573545,162981.52225716333,401569.15629124135,451617.56656135264,1143483.4647574776,300,0.9633333333333334,random,grpc_endpoint,cloud_c5,0.7,same_numa,adversarial,3,"video_transcode,log_aggregator,batch_training",gRPC Endpoint,44
31730.078924237012,14162.14691263346,67839.88028573734,110274.22418639343,293921.9343574641,267582.93242596654,543110.1676645308,300,0.9066666666666666,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,44
67446.16172612115,21295.95299117738,213360.32527637976,234482.0872073368,723355.6425911097,695159.6103153018,1763986.1452097849,300,0.95,random,grpc_endpoint,cloud_c5,0.7,same_core,structured,3,"log_aggregator,video_transcode,data_shuffle",gRPC Endpoint,45
265474.3789788341,12820.844132138598,3810992.528760009,166153.61592411707,647980.2776325861,4924571.503005792,23206362.903216336,300,0.8333333333333334,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_core,structured,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,45
28289.52082539603,14943.008434316165,44209.36003102818,98155.5499340924,244679.8766379284,185617.3603964816,325517.9701755171,300,0.8533333333333334,random,grpc_endpoint,cloud_c5,0.7,same_numa,structured,3,"video_transcode,log_aggregator,batch_training",gRPC Endpoint,45
17011.35978258365,8604.876618508395,30335.165444355665,56904.83585205314,182853.9422174695,128577.74752473157,221499.44073117882,300,0.6866666666666666,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_numa,structured,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,45
69219.69446402759,19315.432319275373,349424.62060612766,133895.9314856979,1093931.4516591576,913736.3153263904,2716376.442936571,300,0.9133333333333333,random,grpc_endpoint,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,45
36964.01073208866,18127.206546395442,82573.23850583791,101520.62846616021,278816.39506840805,289280.9028195602,767568.2682924764,300,0.9166666666666666,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_core,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,45
93077.08116972448,20371.382054615395,994713.3870552317,99050.89912173693,264100.91116584954,1382803.3123986041,6245099.321666926,300,0.9333333333333333,random,grpc_endpoint,cloud_c5,0.7,same_numa,adversarial,3,"batch_training,idle_daemon,data_shuffle",gRPC Endpoint,45
26094.159023349497,14447.704916229526,49286.24565103939,72618.40475934024,241317.09016633793,185973.87730084744,425393.4921681835,300,0.9,sit_dpp,grpc_endpoint,cloud_c5,0.7,same_numa,adversarial,3,"idle_daemon,log_aggregator,data_shuffle",gRPC Endpoint,45
